timestamp	taskName	inputPath	sourceCount	issueCount	passRate	status
2026-05-22 15:07:44	CLI质检任务	d:\\jiedan\\136\\gis-qc-workbench\\data\\test\\test_root	1	35	50.0%	completed
2026-05-24 02:38:52	QA报告导出测试	D:/jiedan/136/gis-qc-workbench/qa_synthetic_data/03_GPKG空间几何问题包	1	5	92.9%	completed
2026-05-24 02:54:09	CLI质检任务	qa_synthetic_data/01_正常基础包	1	1	98.6%	completed
2026-05-24 03:13:46	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	12	82.9%	completed
2026-05-24 03:13:56	QA报告导出测试	D:/jiedan/136/gis-qc-workbench/qa_synthetic_data/03_GPKG空间几何问题包	1	5	92.9%	completed
2026-05-24 03:14:06	CLI质检任务	qa_synthetic_data/01_正常基础包	1	0	100.0%	completed
2026-05-24 03:15:56	CLI质检任务	qa_synthetic_data/01_正常基础包	1	0	100.0%	completed
2026-05-24 15:41:39	QA报告导出测试	D:/jiedan/136/gis-qc-workbench/qa_synthetic_data/03_GPKG空间几何问题包	1	5	92.9%	completed
2026-05-24 15:43:23	QA报告导出测试	D:/jiedan/136/gis-qc-workbench/qa_synthetic_data/03_GPKG空间几何问题包	1	5	92.9%	completed
2026-05-24 15:44:05	CLI质检任务	qa_synthetic_data/01_正常基础包	1	0	100.0%	completed
2026-05-24 16:26:03	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	12	82.9%	completed
2026-05-24 16:46:25	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	13	81.4%	completed
2026-05-24 16:47:20	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	15	78.6%	completed
2026-05-24 16:57:13	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	15	78.6%	completed
2026-05-24 17:10:44	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	15	78.6%	completed
2026-05-24 17:11:11	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	26	62.9%	completed
2026-05-24 17:27:31	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	36	48.6%	completed
2026-05-24 17:30:47	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	36	48.6%	completed
2026-05-24 17:31:30	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	36	48.6%	completed
2026-05-24 17:46:09	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	38	45.7%	completed
2026-05-24 17:50:07	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	38	45.7%	completed
2026-05-24 18:01:00	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	39	44.3%	completed
2026-05-24 18:01:21	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	42	40.0%	completed
2026-05-24 18:02:03	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	42	40.0%	completed
2026-05-24 18:02:30	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	42	40.0%	completed
2026-05-24 18:03:31	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	42	40.0%	completed
2026-05-24 18:04:03	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	42	40.0%	completed
2026-05-24 18:04:41	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	44	37.1%	completed
2026-05-24 18:07:05	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	44	37.1%	completed
2026-05-24 18:16:13	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	50	28.6%	completed
2026-05-24 18:18:18	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	50	28.6%	completed
2026-05-24 18:26:22	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	56	20.0%	completed
2026-05-24 18:31:05	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	67	4.3%	completed
2026-05-24 19:44:28	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	106	0.0%	completed
2026-05-24 19:46:11	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	106	0.0%	completed
2026-05-24 19:58:55	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	128	0.0%	completed
2026-05-24 19:59:34	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	128	0.0%	completed
2026-05-24 20:02:24	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	129	0.0%	completed
2026-05-24 20:06:48	CLI质检任务	dist/GISQCWorkbench-latest/qa_synthetic_data/03_GPKG空间几何问题包	1	129	0.0%	completed
2026-05-24 20:40:55	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	130	0.0%	completed
2026-05-24 20:43:21	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	183	0.0%	completed
2026-05-24 20:44:35	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	228	0.0%	completed
2026-05-24 20:54:13	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	228	0.0%	completed
2026-05-24 21:06:54	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	318	0.0%	completed
2026-05-24 21:11:13	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	318	0.0%	completed
2026-05-24 21:49:18	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	318	0.0%	completed
2026-05-24 21:51:57	CLI质检任务	qa_synthetic_data/03_GPKG空间几何问题包	1	318	0.0%	completed
